,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
3643,8.65418,79.96255,3.56273,0.18636,7.33055
3645,7.82833,98.21667,4.95667,0.0,5.67833
3648,9.35983,35.392,2.45933,0.0,8.84583
3649,7.95221,74.12439,1.23088,0.0,8.14386
3650,9.81017,65.77966,1.89661,0.0,9.72119
3651,9.00167,79.6,4.36667,0.0,7.31433
3653,10.62678,73.35525,4.37271,33.77778,9.17373
3654,7.85833,66.01667,4.235,0.0,6.002
3655,7.72456,86.5614,2.89649,0.0,6.66509
3657,5.85667,81.98333,2.15667,0.0,5.08383
3659,9.65667,61.1,4.39833,0.0,8.10717
3660,13.31167,61.88333,3.83,0.0,12.76383
3662,10.95932,71.15254,1.79492,0.0,11.07814
3663,12.10895,100.0,2.04896,0.0,12.30632
3664,6.22459,94.33051,3.99885,0.00119,4.20153
3665,6.24622,87.715,4.45088,0.0,3.907
3668,16.9035,49.62617,3.35933,0.0,17.19417
3669,9.45333,55.25,3.89167,0.0,8.06533
3671,3.07522,70.94183,0.24317,0.0,3.464
3673,7.73667,73.1,5.915,0.0,5.17417
3674,6.43734,100.0,3.19705,0.0,4.93881
3675,4.39833,75.36667,1.86,0.0,3.565
3678,7.30232,62.29833,2.88467,0.0,6.03817
3679,7.92602,99.53404,2.00136,0.0,7.5083
3682,14.71525,68.15254,6.54746,0.0,13.70102
3686,8.35404,88.65192,1.47327,0.5225,8.37423
3687,7.66595,86.165,0.0,0.0,7.662
3689,4.22333,69.81667,2.46333,0.0,2.81317
3690,0.10085,56.79814,2.15925,0.0,-1.90797
3691,13.68763,42.38712,1.79915,0.0,14.25881
3693,7.62203,100.0,0.63729,0.0,8.8939
3695,14.61017,58.32831,0.86305,0.0,14.95119
3696,14.09322,74.81356,3.41695,0.0,13.84508
3698,18.1525,40.70089,4.09429,0.0,18.48161
3699,10.39621,52.43741,1.76276,0.0,10.46345
3700,1.30287,84.13455,2.68618,0.00286,-0.496
3701,5.03476,92.47091,1.14145,7.514,5.202
3702,18.64755,40.07453,2.71264,0.0,19.63717
3707,4.116,91.61695,8.19237,0.0,-0.15932
3708,9.38333,76.66667,8.01111,0.0,6.60056
3709,4.22946,100.0,0.0,9.6,4.2423
3710,18.23088,41.67088,5.31533,0.0,18.33035
3712,7.30114,88.31724,1.32588,0.0,7.58259
3713,5.05569,100.0,3.15345,0.22741,3.27466
3714,3.70714,97.98214,3.44107,0.0,1.49143
3715,10.68228,68.75123,0.0,0.0,10.68105
3717,13.41559,100.0,2.295,0.0,13.56542
3718,13.34167,47.36667,1.90833,0.0,13.70783
3719,6.43548,89.39828,2.46379,0.72776,5.46741
3721,17.72275,50.20217,0.0,0.0,17.72942
3722,9.12707,75.82707,3.63621,0.0,8.10034
3723,8.36724,86.58621,2.02931,0.0,8.26103
3724,9.42356,44.72305,3.64054,0.0,8.12153
3725,6.67986,95.73276,6.3474,0.0,3.75621
3726,6.56491,99.64912,4.10526,0.00877,4.50509
3728,5.07833,70.21667,1.14,0.0,5.29317
3729,3.5082,75.22951,1.95738,0.00984,2.59361
3731,6.56109,87.22632,2.27175,0.70018,5.54842
3732,8.96333,68.56667,4.33,0.0,7.29867
3733,18.37966,35.84746,7.74407,0.0,18.11
3734,7.26528,60.49738,4.53787,0.0,5.10361
3735,6.31465,96.58519,2.86394,0.0,4.96093
3736,17.93824,45.81882,6.80451,0.0,17.73333
3737,13.63776,100.0,2.18821,0.0,13.87379
3740,7.7854,75.91483,3.09414,0.63017,6.43621
3741,7.96592,78.05787,7.53046,0.0,4.95066
3742,13.20893,42.69643,4.35536,0.0,12.42143
3743,8.9885,94.29333,2.24318,0.0,8.4955
3744,9.03085,83.38136,2.28247,0.0,8.29729
3745,12.8,45.12281,2.83333,0.0,12.59684
3747,9.66305,64.98814,0.0,0.0,9.68525
3748,7.05833,77.31667,3.47,0.0,5.44617
3751,8.15145,77.50117,6.43687,0.0,5.53033
3752,-0.64167,61.31667,1.66167,0.0,-1.853
3753,9.71754,93.92623,1.99108,0.0,9.48689
3755,8.26522,75.58583,0.0,0.0,8.315
3757,8.51648,61.5713,4.39815,0.00556,6.68611
3759,9.65082,77.51393,3.43885,0.18295,8.68131
3760,8.89333,79.01667,5.145,0.0,6.86517
3761,4.58844,91.82787,0.0,0.0,4.59082
3762,7.65053,93.55636,2.25911,0.00527,7.36527
3763,-1.13648,77.82369,2.43892,0.0,-2.82108
3765,7.69172,91.95789,2.21651,0.0,7.2507
3766,7.079,68.18283,2.96774,0.0,5.90604
3768,6.19485,67.74051,6.42153,0.0,3.00542
3769,7.66949,78.0339,0.95763,0.0,8.36085
3770,1.36353,99.69655,2.56724,0.0,-0.60397
3772,2.60953,70.13226,3.95319,0.0,-0.18623
3773,6.4,88.0,3.22105,0.00351,4.78965
3774,6.63917,71.65583,2.90867,0.0,5.25333
3775,9.275,75.75,0.94821,0.0,10.17071
3776,6.79907,63.19138,2.50103,0.0,5.82966
3777,11.85576,64.96102,2.58424,0.51847,11.65051
3780,6.69583,67.59333,2.93,0.0,5.15463
3781,5.93243,63.86049,5.50574,0.0,3.01607
3783,8.12633,71.80733,2.90067,0.42933,6.97283
3785,10.09121,58.75862,2.80724,0.5069,9.49983
3786,11.5514,71.16698,3.1514,0.27674,10.91163
3787,14.70447,61.98511,3.83043,0.0,14.48574
3789,8.8618,42.88738,2.15952,0.0,8.58344
3790,11.48333,90.6,1.38,0.0,12.0775
3793,6.13191,94.68085,2.76809,0.00426,4.76596
3794,4.06435,94.19167,0.0,0.0,4.065
3798,6.59993,70.2669,1.94103,0.0,6.03397
3801,5.73207,67.34667,2.51,0.0,4.57783
3807,4.27883,81.165,1.25145,0.0,4.4165
3808,9.14333,98.08333,1.46667,0.0,9.3885
3810,14.45017,59.05254,1.73144,0.0,15.16881
3811,12.12167,63.82472,2.79667,0.50889,11.94167
3812,2.76614,100.0,2.49296,0.0,1.02807
3814,9.67276,66.20017,2.12172,0.0,9.305
3815,8.63448,83.2931,2.06207,0.0,8.19172
3816,13.71217,100.0,2.89728,0.0,13.60033
3817,7.73934,89.96038,2.19819,0.0,7.38604
3820,1.15531,83.29153,0.04898,0.10271,1.24763
3822,8.87241,79.22414,2.48448,0.0,8.16586
3823,5.97052,90.75,4.78857,0.0,3.56411
3824,6.775,90.08929,1.80357,0.01429,6.47964
3827,5.68972,90.70667,0.8502,0.0,6.40283
3828,8.41667,60.85,3.50667,0.0,6.99733
3831,3.98042,76.91617,4.51933,0.0,1.13067
3832,6.80714,94.35714,5.28571,0.00179,4.25339
3833,10.06333,57.2,3.29667,0.0,9.08083
3834,7.28571,100.0,1.15,0.03214,7.88429
3835,11.81475,75.96721,1.67869,0.0,12.18623
3836,5.82712,90.57627,3.79661,0.00339,3.76678
3837,-0.342,100.0,1.41,0.0,-0.41
3838,-0.47026,75.7018,5.82231,0.0,-4.87508
3839,5.67463,87.88814,1.56856,0.0,5.54
3840,3.97232,100.0,2.85397,0.0,2.19576
3841,7.23929,97.25,2.01071,0.05,6.71304
3843,4.5391,81.58621,3.17397,0.0,2.54879
3845,11.99667,74.63333,2.05833,0.0,12.08017
3846,6.64667,55.71667,2.74833,0.0,5.446
3847,1.22024,100.0,3.36042,0.0,-1.48
3848,5.48333,80.11667,1.42,0.0,5.27567
3849,9.40776,84.3631,2.44441,0.0,8.70914
3850,4.18078,92.93889,0.0,0.0,4.18722
3851,12.429,85.135,2.44945,0.0,12.3705
3853,11.78017,71.39627,3.48864,0.01186,11.01847
3856,15.54183,52.28033,7.82692,0.0,14.53383
3857,7.3485,69.64484,1.7429,0.0,7.01565
3858,-2.50486,93.27193,1.59667,0.0,-3.92561
3859,8.685,96.65,2.50667,0.0,7.92983
3863,9.16385,77.73538,3.64077,0.0,7.82019
3864,7.84661,83.16393,2.75557,0.0,6.87721
3865,7.3,89.0,1.37167,0.0,7.42683
3867,8.88,59.39559,3.9239,0.0,7.37119
3868,7.22521,71.09828,1.72966,0.0,6.98345
3870,2.24892,82.17377,1.79033,0.0,1.13836
3871,17.42271,43.31898,1.6501,0.0,18.61763
3873,-1.82229,92.08571,1.71857,0.0,-3.39143
3874,7.79324,95.89818,1.16324,0.0,8.78636
3875,11.07689,48.75492,1.98274,0.0,11.08705
3876,8.77167,65.9,2.645,0.0,7.9665
3877,15.70067,61.32217,0.0,0.0,15.714
3880,11.524,36.876,3.2427,0.0,10.89717
3881,7.75204,100.0,1.81593,0.00241,7.39556
3882,8.78915,79.19492,2.07632,0.0,8.42915
3883,16.95533,47.98433,3.70708,0.0,17.26183
3885,12.5669,59.79534,1.79897,0.0,12.87707
3887,7.8516,90.90625,2.7341,0.0,6.8325
3891,7.38336,73.64431,5.90543,0.0,4.70845
3894,9.03869,81.49951,1.72449,0.0,8.97574
3895,17.14068,45.55017,2.86642,0.0,17.70881
