,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
14045,30.57183,56.09283,2.37133,0.0,33.11133
14046,30.27966,61.40678,2.40508,0.0,33.70136
14047,28.55767,72.19867,4.50733,0.0,32.13983
14048,23.61333,84.59167,4.61538,0.0,25.02067
14049,22.72,94.09833,1.17662,0.0,24.6885
14050,24.39767,87.60667,1.75935,0.0,26.26667
14051,27.82167,68.4,4.31833,0.0,30.12467
14052,18.88448,76.63793,3.60517,0.0,19.47966
14053,23.09421,57.94123,2.10333,0.0,24.78737
14055,21.91667,59.73333,2.24667,0.0,23.385
14056,23.56783,90.24333,2.85,0.0,25.20533
14057,28.61444,56.20593,5.82778,0.0,29.97685
14058,23.45484,51.85161,3.00871,0.0,25.06742
14059,27.91651,66.30857,3.2373,0.0,30.09222
14060,26.94333,76.51667,1.43,0.0,29.2995
14061,18.64167,85.73333,2.15667,0.0,19.6325
14062,22.63559,92.98305,2.29492,0.0,24.22186
14063,23.09169,74.61932,5.38153,0.0,24.28068
14064,25.22603,89.27586,3.04697,0.0,26.46224
14065,22.44305,84.54237,0.82554,0.0,24.46051
14066,23.51983,93.90339,3.43464,0.0,25.05051
14068,21.00333,87.56667,1.20667,0.0,22.72467
14069,21.27534,84.06552,5.47759,0.0,22.06121
14070,24.38893,100.0,3.52429,0.0,26.10268
14071,20.47729,82.07322,3.28661,0.00797,21.48881
14073,24.91533,88.67833,5.32733,0.0,26.23367
14074,23.34305,82.24576,1.91712,0.0,25.13932
14075,23.00527,92.26,3.02162,0.0,24.51018
14076,22.55459,87.57049,2.99951,0.0,24.01541
14077,20.57617,67.55633,2.40867,0.0,21.82817
14078,24.64068,84.45763,2.98644,0.0,26.37644
14079,29.61667,67.78333,1.33,0.0,33.64383
14080,29.90737,52.69456,2.75316,0.0,31.34404
14081,23.51217,56.82117,1.78083,0.0,25.23717
14082,19.51259,94.35862,0.42933,0.0,21.47603
14084,24.23,90.45,2.85833,0.0,25.97383
14085,26.37441,69.54305,4.10424,0.0,27.79847
14086,30.51846,49.74308,3.16077,0.0,31.76385
14087,25.21533,84.05333,0.73633,0.0,26.19867
14088,23.02386,74.58807,3.96439,0.0,24.39702
14089,27.66279,76.40033,2.35123,0.0,30.79033
14090,22.9915,86.76333,6.006,0.0,24.12033
14091,20.24833,69.08333,4.935,0.0,20.8755
14092,21.161,81.99333,0.81428,0.0,23.02583
14094,25.18814,85.37288,2.83729,0.0,26.74729
14095,23.9225,71.71089,5.25159,0.0,25.32982
14096,28.56833,65.35,3.81167,0.0,31.07383
14097,21.30729,80.25475,0.95315,0.0,23.20119
14098,25.29789,76.24842,2.43316,0.0,26.56035
14099,23.3195,96.17833,2.17812,0.0,25.06067
14100,28.84283,72.64417,2.76808,0.0,32.84067
14101,22.25433,83.51467,5.22542,0.0,23.34967
14102,20.11845,80.21672,5.85414,0.00052,20.58552
14103,18.55541,80.27934,0.87007,0.0,20.35
14104,28.52333,64.91667,0.99167,0.0,30.92883
14105,25.59279,76.13574,6.48785,0.0,26.83738
14106,23.66984,67.1477,3.60905,0.0,25.19426
14109,22.51424,88.39831,2.78356,0.0,24.00983
14110,22.83367,94.94333,0.71177,0.0,24.97033
14111,21.16517,60.99933,3.17,0.0,22.45183
14112,19.36533,68.60217,2.34467,0.0,20.43533
14113,21.2739,90.64407,0.42434,0.0,23.36881
14114,21.96633,95.82167,0.84572,0.0,24.01283
14115,27.03517,58.97533,3.91662,0.0,28.04383
14116,27.737,71.17217,4.96628,0.0,30.30367
14117,20.49915,100.0,1.86797,0.0,21.87136
14119,24.22729,85.06441,5.36944,0.0,25.70966
14120,26.26852,73.35148,2.32672,0.0,27.81098
14121,22.31864,69.74576,5.48644,0.0,23.33949
14122,31.179,46.44083,3.30867,0.0,32.176
14123,23.80579,62.20158,4.92181,0.0,25.23965
14124,24.22984,100.0,2.62049,0.0123,26.00869
14125,24.32393,53.23311,1.8782,0.0,26.19213
14126,20.04254,77.70492,0.95317,0.0,21.83051
14127,23.77579,69.66088,2.70404,0.0,25.46351
14128,31.455,40.39233,3.394,0.0,31.62167
14129,26.49051,75.57661,1.52559,0.0,28.36153
14132,21.3339,66.13881,0.84966,0.0,22.85898
14133,23.70621,68.08103,5.11298,0.0,25.09517
14134,24.27443,74.90721,1.0483,0.0,26.40508
14135,27.64164,63.56361,3.09918,0.0,29.26
14137,25.56823,64.1021,2.94769,0.0,26.58258
14138,20.19661,62.16661,1.86017,0.00203,21.58186
14139,25.30033,69.4123,3.08869,0.0,26.55344
14140,20.64741,99.80345,1.50233,0.0,22.1831
14141,19.84102,99.55085,1.61475,0.0,21.20898
14142,28.16048,69.93694,1.87242,0.0,31.03968
14143,23.99189,71.05792,2.4183,0.0,25.79717
14144,21.06302,94.37736,1.93887,0.0,22.49019
14145,30.13833,63.3,3.43167,0.0,33.82667
